,Symbol,Security Name,common name
1388,DSWL,Deswell Industries ,
1389,DTI,Drilling Tools International,
1390,DTIL,Precision BioSciences ,
1391,DTOC,Digital Transformation Opportunities ,
1392,DTOCU,Digital Transformation Opportunities ,
1393,DTOCW,Digital Transformation Opportunities ,
1394,DTSS,Datasea ,
1395,DTST,Data Storage ,
1396,DTSTW,Data Storage ,
1397,DUET,DUET Acquisition ,
1398,DUETU,DUET Acquisition ,
1399,DUETW,DUET Acquisition ,
1400,DUNE,Dune Acquisition ,
1401,DUNEU,Dune Acquisition ,
1402,DUNEW,Dune Acquisition ,
1403,DUO,Fangdd Network Group ,
1404,DUOL,Duolingo ,
1405,DUOT,Duos Technologies Group ,
1406,DVAL,BrandywineGLOBAL-Dynamic US Large Cap Value ,
1407,DVAX,Dynavax Technologies ,
1408,DVLU,First Trust Dorsey Wright Momentum & Value ,
1409,DVOL,First Trust Dorsey Wright Momentum & Low Volatility ,
1410,DVY,iShares Select Dividend ,
1411,DWAC,Digital World Acquisition ,
1412,DWACU,Digital World Acquisition ,
1413,DWACW,Digital World Acquisition ,
1414,DWAS,Invesco Dorsey Wright SmallCap Momentum ,
1415,DWAW,AdvisorShares Dorsey Wright FSM All Cap World ,
1416,DWMC,AdvisorShares Dorsey Wright Small,
1417,DWSH,AdvisorShares Dorsey Wright Short ,
1418,DWSN,Dawson Geophysical ,
1419,DWUS,AdvisorShares Dorsey Wright FSM US Core ,
1420,DXCM,DexCom ,
1421,DXGE,WisdomTree Germany Hedged Equity Fund,
1422,DXJS,WisdomTree Japan Hedged SmallCap Equity Fund,
1423,DXLG,Destination XL Group ,
1424,DXPE,DXP Enterprises ,
1425,DXR,Daxor ,
1426,DXYN,The Dixie Group ,
1427,DYAI,Dyadic International ,
1428,DYN,Dyne Therapeutics ,
1429,DYNT,Dynatronics ,
1430,DYTA,SGI Dynamic Tactical ,
1431,DZSI,DZS ,
1432,EA,Electronic Arts ,
1433,EAC,Edify Acquisition ,
1434,EACPU,Edify Acquisition ,
1435,EACPW,Edify Acquisition ,
1436,EAR,Eargo ,
1437,EAST,Eastside Distilling ,
1438,EBAY,eBay ,
1439,EBC,Eastern Bankshares ,
1440,EBET,EBET ,
1441,EBIX,Ebix ,
1442,EBIZ,Global X E-commerce ,
1443,EBMT,Eagle Ban Montana ,
1444,EBON,Ebang International Holdings ,
1445,EBTC,Enterprise Ban ,
1446,ECBK,ECB Ban ,
1447,ECOR,electroCore ,
1448,ECOW,Pacer Emerging Markets Cash Cows 100 ,
1449,ECPG,Encore Capital Group ,
1450,ECX,ECARX Holdings ,
1451,ECXWW,ECARX Holdings ,
1452,EDAP,EDAP TMS S.A.,
1453,EDBL,Edible Garden AG ,
1454,EDBLW,Edible Garden AG ,
1455,EDIT,Editas Medicine ,
1456,EDOC,Global X Telemedicine & Digital Health ,
1457,EDRY,EuroDry ,
1458,EDSA,Edesa Biotech ,
1459,EDTK,Skillful Craftsman Education Technology ,
1460,EDUC,Educational Development ,
1461,EDUT,Global X Education ,
1462,EEFT,Euronet Worldwide ,
1463,EEIQ,EpicQuest Education Group International ,
1464,EEMA,iShares MSCI Emerging Markets Asia ,
1465,EFAS,Global X MSCI SuperDividend EAFE ,
1466,EFHT,EF Hutton Acquisition,
1467,EFHTR,EF Hutton Acquisition,
1468,EFHTW,EF Hutton Acquisition,
1469,EFOI,Energy Focus ,
1470,EFRA,iShares Environmental Infrastructure and Industrials ,
1471,EFSC,Enterprise Financial Services ,
1472,EFSCP,Enterprise Financial Services ,
1473,EFTR,eFFECTOR Therapeutics ,
1474,EFTRW,eFFECTOR Therapeutics ,
1475,EGAN,eGain ,
1476,EGBN,Eagle Ban ,
1477,EGHT,8x8 ,
1478,EGIO,Edgio ,
1479,EGLX,Enthusiast Gaming Holdings ,
1480,EGRX,Eagle Pharmaceuticals ,
1481,EH,EHang Holdings ,
1482,EHTH,eHealth ,
1483,EIGR,Eiger BioPharmaceuticals ,
1484,EJH,E-Home Household Service Holdings ,
1485,EKG,First Trust Nasdaq Lux Digital Health Solutions ,
1486,EKSO,Ekso Bionics Holdings ,
1487,ELBM,Electra Battery Materials ,
1488,ELDN,Eledon Pharmaceuticals ,
1489,ELEV,Elevation Oncology ,
1490,ELOX,Eloxx Pharmaceuticals ,
1491,ELSE,Electro-Sensors ,
1492,ELTK,Eltek ,
1493,ELTX,Elicio Therapeutics ,
1494,ELUT,Elutia ,
1495,ELVA,Electrovaya ,
1496,ELVN,Enliven Therapeutics,
1497,ELWS,Earlyworks,
1498,ELYM,Eliem Therapeutics ,
1499,ELYS,Elys Game Technology,
1500,EM,Smart Share Global ,
1501,EMB,iShares J.P. Morgan USD Emerging Markets Bond ,
1502,EMBC,Embecta ,
1503,EMCB,WisdomTree Emerging Markets orate Bond Fund,
1504,EMCG,Embrace Change Acquisition ,
1505,EMCGR,Embrace Change Acquisition ,
1506,EMCGU,Embrace Change Acquisition ,
1507,EMCGW,Embrace Change Acquisition ,
1508,EMIF,iShares Emerging Markets Infrastructure ,
1509,EMKR,EMCORE ,
1510,EML,Eastern(The),
1511,EMLD,FTAC Emerald Acquisition ,
1512,EMLDU,FTAC Emerald Acquisition ,
1513,EMLDW,FTAC Emerald Acquisition ,
1514,EMXC,iShares MSCI Emerging Markets ex China ,
1515,EMXF,iShares ESG Advanced MSCI EM ,
1516,ENCP,Energem ,
1517,ENCPU,Energem ,
1518,ENCPW,Energem ,
1519,ENER,Accretion Acquisition ,
1520,ENERR,Accretion Acquisition ,
1521,ENERU,Accretion Acquisition ,
1522,ENERW,Accretion Acquisition ,
1523,ENG,ENGlobal ,
1524,ENLT,Enlight Renewable Energy ,
1525,ENLV,Enlivex Therapeutics ,
1526,ENPH,Enphase Energy ,
1527,ENSC,Ensysce Biosciences ,
1528,ENSG,The Ensign Group ,
1529,ENTA,Enanta Pharmaceuticals ,
1530,ENTG,Entegris ,
1531,ENTX,Entera Bio ,
1532,ENVB,Enveric Biosciences,
1533,ENVX,Enovix ,
1534,ENZL,iShares MSCI New Zealand ,
1535,EOLS,Evolus ,
1536,EOSE,Eos Energy Enterprises ,
1537,EOSEW,Eos Energy Enterprises ,
1538,EPIX,ESSA Pharma ,
1539,EPOW,Sunrise New Energy,
1540,EPSN,Epsilon Energy ,
1541,EQ,Equillium ,
1542,EQIX,Equinix ,
1543,EQRR,ProShares Equities for Rising Rates ,
1544,EQRX,EQRx,
1545,EQRXW,EQRx,
1546,ERAS,Erasca ,
1547,ERET,iShares Environmentally Aware Real Estate ,
1548,ERIC,Ericsson,
1549,ERIE,Erie Indemnity ,
1550,ERII,Energy Recovery ,
1551,ERNA,Eterna Therapeutics ,
1552,ESAC,ESGEN Acquisition ,
1553,ESACU,ESGEN Acquisition ,
1554,ESACW,ESGEN Acquisition ,
1555,ESCA,Escalade ,
1556,ESEA,Euroseas ,
1557,ESGD,iShares ESG Aware MSCI EAFE ,
1558,ESGE,iShares ESG Aware MSCI EM ,
1559,ESGL,ESGL Holdings ,
1560,ESGLW,ESGL Holdings ,
1561,ESGR,Enstar Group ,
1562,ESGRO,Enstar Group ,
1563,ESGRP,Enstar Group ,
1564,ESGU,iShares ESG Aware MSCI USA ,
1565,ESHA,ESH Acquisition ,
1566,ESHAR,ESH Acquisition ,
1567,ESLT,Elbit Systems ,
1568,ESMV,iShares ESG MSCI USA Min Vol Factor ,
1569,ESOA,Energy Services of America ,
1570,ESPO,VanEck Video Gaming and eSports ,
1571,ESPR,Esperion Therapeutics ,
1572,ESQ,Esquire Financial Holdings ,
1573,ESSA,ESSA Ban ,
1574,ESTA,Establishment Labs Holdings ,
1575,ETAO,Etao International,
1576,ETEC,iShares Breakthrough Environmental Solutions ,
1577,ETNB,89bio ,
1578,ETON,Eton Pharmaceuticals ,
1579,ETSY,Etsy ,
1580,EUDA,Euda Health Holdings ,
1581,EUDAW,Euda Health Holdings ,
1582,EUFN,iShares MSCI Europe Financials ,
1583,EVAX,Evaxion Biotech A/S,
1584,EVBG,Everbridge ,
1585,EVCM,EverCommerce ,
1586,EVER,EverQuote ,
1587,EVGN,Evogene ,
1588,EVGO,EVgo ,
1589,EVGOW,EVgo ,
1590,EVGR,Evergreen ,
1591,EVGRU,Evergreen ,
1592,EVGRW,Evergreen ,
1593,EVLO,Evelo Biosciences ,
1594,EVLV,Evolv Technologies Holdings ,
1595,EVLVW,Evolv Technologies Holdings ,
1596,EVMT,Invesco Electric Vehicle Metals Commodity Strategy No K-1 ,
1597,EVO,Evotec SE,
1598,EVOK,Evoke Pharma ,
1599,EVRG,Evergy ,
1600,EVTV,Envirotech Vehicles ,
1601,EWBC,East West Ban ,
1602,EWCZ,European Wax Center ,
1603,EWEB,Global X Emerging Markets Internet & E-commerce ,
1604,EWJV,iShares MSCI Japan Value ,
1605,EWTX,Edgewise Therapeutics ,
1606,EWZS,iShares MSCI Brazil Small-Cap ,
1607,EXAI,Exscientia Plc,
1608,EXAS,Exact Sciences ,
1609,EXC,Exelon ,
1610,EXEL,Exelixis ,
1611,EXFY,Expensify ,
1612,EXLS,ExlService Holdings ,
1613,EXPD,Expeditors International of Washington ,
1614,EXPE,Expedia Group ,
1615,EXPI,eXp World Holdings ,
1616,EXPO,Exponent ,
1617,EXTR,Extreme Networks ,
1618,EYE,National Vision Holdings ,
1619,EYEN,Eyenovia ,
1620,EYPT,EyePoint Pharmaceuticals ,
1621,EZFL,EzFill Holdings ,
1622,EZGO,EZGO Technologies ,
1623,EZPW,EZ ,
1624,FA,First Advantage ,
1625,FAAR,First Trust Alternative Absolute Return Strategy ,
1626,FAB,First Trust Multi Cap Value AlphaDEX Fund,
1627,FAD,First Trust Multi Cap Growth AlphaDEX Fund,
1628,FALN,iShares Fallen Angels USD Bond ,
1629,FAMI,Farmmi ,
1630,FANG,Diamondback Energy ,
1631,FANH,Fanhua ,
1632,FARM,Farmer Brothers ,
1633,FARO,FARO Technologies ,
1634,FAST,Fastenal ,
1635,FAT,FAT Brands ,
1636,FATBB,FAT Brands ,
1637,FATBP,FAT Brands ,
1638,FATBW,FAT Brands ,
1639,FATE,Fate Therapeutics ,
1640,FATP,Fat Projects Acquisition ,
1641,FATPU,Fat Projects Acquisition ,
1642,FATPW,Fat Projects Acquisition ,
1643,FAZE,FaZe Holdings ,
1644,FAZEW,FaZe Holdings ,
1645,FBIO,Fortress Biotech ,
1646,FBIOP,Fortress Biotech ,
1647,FBIZ,First Business Financial Services ,
1648,FBL,GraniteShares 1.5x Long Meta Daily ,
1649,FBMS,The First Bancshares ,
1650,FBNC,First Ban,
1651,FBOT,Fidelity Disruptive Automation ,
1652,FBRX,Forte Biosciences,
1653,FBZ,First Trust Brazil AlphaDEX Fund,
1654,FCA,First Trust China AlphaDEX Fund,
1655,FCAL,First Trust California Municipal High ome ,
1656,FCAP,First Capital ,
1657,FCBC,First Community Bankshares ,
1658,FCCO,First Community ,
1659,FCEF,First Trust ome Opportunities ,
1660,FCEL,FuelCell Energy ,
1661,FCFS,FirstCash Holdings ,
1662,FCNCA,First Citizens BancShares ,
1663,FCNCO,First Citizens BancShares ,
1664,FCNCP,First Citizens BancShares ,
1665,FCUV,Focus Universal ,
1666,FCVT,First Trust SSI Strategic Convertible Securities ,
1667,FDBC,Fidelity D & D Ban ,
1668,FDCF,Fidelity Disruptive Communications ,
1669,FDFF,Fidelity Disruptive Finance ,
1670,FDIF,Fidelity Disruptors ,
1671,FDIG,Fidelity Crypto Industry and Digital Payments ,
1672,FDMT,4D Molecular Therapeutics ,
1673,FDNI,First Trust Dow Jones International Internet ,
1674,FDT,First Trust Developed Markets Ex-US AlphaDEX Fund,
1675,FDTS,First Trust Developed Markets ex-US Small Cap AlphaDEX Fund,
1676,FDTX,Fidelity Disruptive Technology ,
1677,FDUS,Fidus Investment ,
1678,FEAM,5E Advanced Materials ,
1679,FEIM,Frequency Electronics ,
1680,FELE,Franklin Electric,
1681,FEM,First Trust Emerging Markets AlphaDEX Fund,
1682,FEMB,First Trust Emerging Markets Local Currency Bond ,
1683,FEMS,First Trust Emerging Markets Small Cap AlphaDEX Fund,
1684,FEMY,Femasys ,
1685,FENC,Fennec Pharmaceuticals ,
1686,FEP,First Trust Europe AlphaDEX Fund,
1687,FEUZ,First Trust Eurozone AlphaDEX ,
1688,FEX,First Trust Large Cap Core AlphaDEX Fund,
1689,FEXD,Fintech Ecosystem Development ,
1690,FEXDR,Fintech Ecosystem Development ,
1691,FEXDU,Fintech Ecosystem Development ,
1692,FEXDW,Fintech Ecosystem Development ,
1693,FFBC,First Financial Ban,
1694,FFIC,Flushing Financial ,
1695,FFIE,Faraday Future Intelligent Electric ,
1696,FFIEW,Faraday Future Intelligent Electric ,
1697,FFIN,First Financial Bankshares ,
1698,FFIV,F5 ,
1699,FFNW,First Financial Northwest ,
1700,FGBI,First Guaranty Bancshares ,
1701,FGBIP,First Guaranty Bancshares ,
1702,FGEN,FibroGen ,
1703,FGF,FG Financial Group,
1704,FGFPP,FG Financial Group,
1705,FGI,FGI Industries ,
1706,FGIWW,FGI Industries ,
1707,FGM,First Trust Germany AlphaDEX Fund,
1708,FHB,First Hawaiian ,
1709,FHLT,Future Health ESG ,
1710,FHLTU,Future Health ESG ,
1711,FHLTW,Future Health ESG ,
1712,FHTX,Foghorn Therapeutics ,
1713,FIAC,Focus Impact Acquisition ,
1714,FIACU,Focus Impact Acquisition ,
1715,FIACW,Focus Impact Acquisition ,
1716,FIBK,First Interstate BancSystem ,
1717,FICS,First Trust International Developed Capital Strength ,
1718,FICV,Frontier Investment ,
1719,FICVU,Frontier Investment ,
1720,FICVW,Frontier Investment ,
1721,FID,First Trust S&P International Dividend Aristocrats ,
1722,FINW,FinWise Ban,
1723,FINX,Global X FinTech ,
1724,FIP,FTAI Infrastructure ,
1725,FISI,Financial Institutions ,
1726,FITB,Fifth Third Ban,
1727,FITBI,Fifth Third Ban,
1728,FITBO,Fifth Third Ban,
1729,FITBP,Fifth Third Ban,
1730,FIVE,Five Below ,
1731,FIVN,Five9 ,
1732,FIXD,First Trust TCW Opportunistic Fixed ome ,
1733,FIXT,Procure Disaster Recovery Strategy ,
1734,FIXX,Homology Medicines ,
1735,FIZZ,National Beverage ,
1736,FJP,First Trust Japan AlphaDEX Fund,
1737,FKU,First Trust United Kingdom AlphaDEX Fund,
1738,FKWL,Franklin Wireless ,
1739,FLEX,Flex ,
1740,FLFV,Feutune Light Acquisition ,
1741,FLFVR,Feutune Light Acquisition ,
1742,FLFVU,Feutune Light Acquisition ,
1743,FLFVW,Feutune Light Acquisition ,
1744,FLGC,Flora Growth ,
1745,FLGT,Fulgent Genetics ,
1746,FLIC,The First of Long Island ,
1747,FLJ,FLJ Group ,
1748,FLL,Full House Resorts ,
1749,FLN,First Trust Latin America AlphaDEX Fund,
1750,FLNC,Fluence Energy ,
1751,FLNT,Fluent ,
1752,FLUX,Flux Power Holdings ,
1753,FLWS,1-800-FLOWERS.COM ,
1754,FLXS,Flexsteel Industries ,
1755,FLYW,Flywire ,
1756,FMAO,Farmers & Merchants Ban ,
1757,FMB,First Trust Managed Municipal ,
1758,FMBH,First Mid Bancshares ,
1759,FMED,Fidelity Disruptive Medicine ,
1760,FMET,Fidelity Metaverse ,
1761,FMHI,First Trust Municipal High ome ,
1762,FMNB,Farmers National Banc ,
1763,FMST,Foremost Lithium Resource & Technology ,
1764,FMSTW,Foremost Lithium Resource & Technology ,
1765,FNCB,FNCB Ban ,
1766,FNCH,Fh Therapeutics Group ,
1767,FNGR,FingerMotion ,
1768,FNK,First Trust Mid Cap Value AlphaDEX Fund,
1769,FNKO,Funko ,
1770,FNLC,First Ban(ME),
1771,FNVT,Finnovate Acquisition ,
1772,FNVTU,Finnovate Acquisition ,
1773,FNVTW,Finnovate Acquisition ,
1774,FNWB,First Northwest Ban,
1775,FNWD,Finward Ban,
1776,FNX,First Trust Mid Cap Core AlphaDEX Fund,
1777,FNY,First Trust Mid Cap Growth AlphaDEX Fund,
1778,FOLD,Amicus Therapeutics ,
1779,FONR,Fonar ,
1780,FORA,Forian ,
1781,FORD,Forward Industries ,
1782,FORL,Four Leaf Acquisition ,
1783,FORLU,Four Leaf Acquisition ,
1784,FORLW,Four Leaf Acquisition ,
1785,FORM,FormFactor ,
1786,FORR,Forrester Research ,
1787,FORTY,Formula Systems (1985) ,
1788,FOSL,Fossil Group ,
1789,FOSLL,Fossil Group ,
1790,FOX,Fox ,
1791,FOXA,Fox ,
1792,FOXF,Fox Factory Holding ,
1793,FPA,First Trust Asia Pacific Ex-Japan AlphaDEX Fund,
1794,FPAY,FlexShopper ,
1795,FPXE,First Trust IPOX Europe Equity Opportunities ,
1796,FPXI,First Trust International Equity Opportunities ,
1797,FRAF,Franklin Financial Services ,
1798,FRBA,First Bank ,
1799,FRBN,Forbion European Acquisition ,
1800,FRBNU,Forbion European Acquisition ,
1801,FRBNW,Forbion European Acquisition ,
1802,FREE,Whole Earth Brands ,
1803,FREEW,Whole Earth Brands ,
1804,FREQ,Frequency Therapeutics ,
1805,FRES,Fresh2 Group ,
1806,FRGI,Fiesta Restaurant Group ,
1807,FRGT,Freight Technologies ,
1808,FRHC,Freedom Holding ,
1809,FRLA,Fortune Rise Acquisition ,
1810,FRLAU,Fortune Rise Acquisition ,
1811,FRLAW,Fortune Rise Acquisition ,
1812,FRLN,Freeline Therapeutics Holdings plc,
1813,FRME,First Merchants ,
1814,FRMEP,First Merchants ,
1815,FROG,JFrog ,
1816,FRPH,FRP Holdings ,
1817,FRPT,Freshpet ,
1818,FRSH,Freshworks ,
1819,FRST,Primis Financial ,
1820,FRSX,Foresight Autonomous Holdings ,
1821,FRTX,Fresh Tracks Therapeutics ,
1822,FRZA,Forza X1 ,
1823,FSBC,Five Star Ban,
1824,FSBW,FS Ban ,
1825,FSEA,First Seacoast Ban ,
1826,FSFG,First Savings Financial Group ,
1827,FSLR,First Solar ,
1828,FSRX,FinServ Acquisition,
1829,FSRXU,FinServ Acquisition,
1830,FSRXW,FinServ Acquisition,
1831,FSTR,L.B. Foster ,
1832,FSV,FirstService ,
1833,FSZ,First Trust Switzerland AlphaDEX Fund,
1834,FTA,First Trust Large Cap Value AlphaDEX Fund,
1835,FTAG,First Trust Indxx Global Agriculture ,
1836,FTAI,FTAI Aviation ,
1837,FTAIM,FTAI Aviation ,
1838,FTAIN,FTAI Aviation ,
1839,FTAIO,FTAI Aviation ,
1840,FTAIP,FTAI Aviation ,
1841,FTC,First Trust Large Cap Growth AlphaDEX Fund,
1842,FTCI,FTC Solar ,
1843,FTCS,First Trust Capital Strength ,
1844,FTDR,Frontdoor ,
1845,FTDS,First Trust Dividend Strength ,
1846,FTEK,Fuel Tech ,
1847,FTEL,Fitell ,
1848,FTFT,Future FinTech Group ,
1849,FTGC,First Trust Global Tactical Commodity Strategy Fund,
1850,FTGS,First Trust Growth Strength ,
1851,FTHI,First Trust BuyWrite ome ,
1852,FTHM,Fathom Holdings ,
1853,FTII,FutureTech Acquisition ,
1854,FTIIU,FutureTech Acquisition ,
1855,FTIIW,FutureTech Acquisition ,
1856,FTNT,Fortinet ,
1857,FTQI,First Trust Nasdaq BuyWrite ome ,
1858,FTRE,Fortrea Holdings ,
1859,FTRI,First Trust Indxx Global Natural Resources ome ,
1860,FTSL,First Trust Senior Loan Fund,
1861,FTSM,First Trust Enhanced Short Maturity ,
1862,FTXG,First Trust Nasdaq Food & Beverage ,
1863,FTXH,First Trust Nasdaq Pharmaceuticals ,
1864,FTXL,First Trust Nasdaq Semiconductor ,
1865,FTXN,First Trust Nasdaq Oil & Gas ,
1866,FTXO,First Trust Nasdaq Bank ,
1867,FTXR,First Trust Nasdaq Transportation ,
1868,FULC,Fulcrum Therapeutics ,
1869,FULT,Fulton Financial ,
1870,FULTP,Fulton Financial ,
1871,FUNC,First United ,
1872,FUND,Sprott Focus Trust ,
1873,FUSB,First US Bancshares ,
1874,FUSN,Fusion Pharmaceuticals ,
1875,FUTU,Futu Holdings ,
1876,FUV,Arcimoto ,
1877,FV,First Trust Dorsey Wright Focus 5 ,
1878,FVC,First Trust Dorsey Wright Dynamic Focus 5 ,
1879,FVCB,FVCBank ,
1880,FWBI,First Wave BioPharma ,
1881,FWONA,Liberty Media ,
1882,FWONK,Liberty Media ,
1883,FWRD,Forward Air ,
1884,FWRG,First Watch Restaurant Group ,
1885,FXNC,First National ,
1886,FYBR,Frontier Communications Parent ,
1887,FYC,First Trust Small Cap Growth AlphaDEX Fund,
1888,FYT,First Trust Small Cap Value AlphaDEX Fund,
1889,FYX,First Trust Small Cap Core AlphaDEX Fund,
1890,GABC,German American Ban ,
1891,GAIA,Gaia ,
1892,GAIN,Gladstone Investment ,
1893,GAINL,Gladstone Investment ,
1894,GAINN,Gladstone Investment ,
1895,GAINZ,Gladstone Investment ,
1896,GALT,Galectin Therapeutics ,
1897,GAMB,Gambling.com Group ,
1898,GAMC,Golden Arrow Merger ,
1899,GAMCU,Golden Arrow Merger ,
1900,GAMCW,Golden Arrow Merger ,
1901,GAME,GameSquare Holdings ,
1902,GAN,GAN ,
1903,GANX,Gain Therapeutics ,
1904,GASS,StealthGas ,
1905,GATE,Marblegate Acquisition ,
1906,GATEU,Marblegate Acquisition ,
1907,GATEW,Marblegate Acquisition ,
1908,GBBK,Global Blockchain Acquisition ,
1909,GBBKR,Global Blockchain Acquisition ,
1910,GBBKW,Global Blockchain Acquisition ,
1911,GBDC,Golub Capital BDC ,
1912,GBIO,Generation Bio ,
1913,GBNH,Greenbrook TMS ,
1914,GBNY,Generations Ban NY ,
1915,GCBC,Greene County Ban ,
1916,GCMG,GCM Grosvenor ,
1917,GCMGW,GCM Grosvenor ,
1918,GCT,GigaCloud Technology ,
1919,GCTK,GlucoTrack ,
1920,GDC,GD Culture Group ,
1921,GDEN,Golden Entertainment ,
1922,GDEV,GDEV ,
1923,GDEVW,GDEV ,
1924,GDHG,Golden Heaven Group Holdings,
1925,GDNR,Gardiner Healthcare Acquisitions ,
1926,GDNRU,Gardiner Healthcare Acquisitions ,
1927,GDNRW,Gardiner Healthcare Acquisitions ,
1928,GDRX,GoodRx Holdings ,
1929,GDS,GDS Holdings ,
1930,GDST,Goldenstone Acquisition ,
1931,GDSTR,Goldenstone Acquisition ,
1932,GDSTU,Goldenstone Acquisition ,
1933,GDSTW,Goldenstone Acquisition ,
1934,GDTC,CytoMed Therapeutics ,
1935,GDYN,Grid Dynamics Holdings ,
1936,GECC,Great Elm Capital ,
1937,GECCM,Great Elm Capital ,
1938,GECCO,Great Elm Capital ,
1939,GECCZ,Great Elm Capital ,
1940,GEG,Great Elm Group,
1941,GEGGL,Great Elm Group,
1942,GEHC,GE HealthCare Technologies ,
1943,GEN,Gen Digital ,
1944,GENE,Genetic Technologies ,
1945,GENK,GEN Restaurant Group ,
1946,GENY,Pripal Millennial Global Growth ,
1947,GEOS,Geospace Technologies ,
1948,GERN,Geron ,
1949,GEVO,Gevo ,
1950,GFAI,Guardforce AI,
1951,GFAIW,Guardforce AI,
1952,GFGD,The Growth for Good Acquisition ,
1953,GFGDR,The Growth for Good Acquisition ,
1954,GFGDU,The Growth for Good Acquisition ,
1955,GFGDW,The Growth for Good Acquisition ,
1956,GFGF,Guru Favorite Stocks ,
1957,GFS,GlobalFoundries ,
1958,GGAL,Grupo Financiero Galicia S.A.,
1959,GGE,Green Giant ,
1960,GGLL,Direxion Daily GOOGL Bull 1.5X Shares,
1961,GGLS,Direxion Daily GOOGL Bear 1X Shares,
1962,GGR,Gogoro ,
1963,GGROW,Gogoro ,
1964,GH,Guardant Health ,
1965,GHIX,Gores Holdings IX ,
1966,GHIXU,Gores Holdings IX ,
1967,GHIXW,Gores Holdings IX ,
1968,GHRS,GH Research PLC,
1969,GHSI,Guardion Health Sciences ,
1970,GIA,GigCapital 5 ,
1971,GIFI,Gulf Island Fabrication ,
1972,GIGM,GigaMedia ,
1973,GIII,G-III Apparel Group ,
1974,GILD,Gilead Sciences ,
1975,GILT,Gilat Satellite Networks ,
1976,GIPR,Generation ome Properties ,
1977,GIPRW,Generation ome Properties ,
1978,GLAD,Gladstone Capital ,
1979,GLADZ,Gladstone Capital ,
1980,GLBE,Global-E Online ,
1981,GLBS,Globus Maritime ,
1982,GLBZ,Glen Burnie Ban,
1983,GLDD,Great Lakes Dredge & Dock ,
1984,GLDI,Credit Suisse X-Links Gold Shares Covered Call ETNs due February 2 2033,
1985,GLG,TD Holdings ,
1986,GLLI,Globalink Investment ,
1987,GLLIR,Globalink Investment ,
1988,GLLIU,Globalink Investment ,
1989,GLLIW,Globalink Investment ,
1990,GLMD,Galmed Pharmaceuticals ,
1991,GLNG,Golar LNG ,
1992,GLPG,Galapagos NV,
1993,GLPI,Gaming and Leisure Properties ,
1994,GLRE,Greenlight Reinsurance ,
1995,GLSI,Greenwich LifeSciences ,
1996,GLST,Global Star Acquisition ,
1997,GLSTR,Global Star Acquisition ,
1998,GLSTU,Global Star Acquisition ,
1999,GLSTW,Global Star Acquisition ,
2000,GLTO,Galecto ,
2001,GLUE,Monte Rosa Therapeutics ,
2002,GLYC,GlycoMimetics ,
2003,GMAB,Genmab A/S,
2004,GMBL,Esports Entertainment Group ,
2005,GMBLP,Esports Entertainment Group ,
2006,GMBLW,Esports Entertainment Group ,
2007,GMBLZ,Esports Entertainment Group ,
2008,GMDA,Gamida Cell ,
2009,GMFI,Aetherium Acquisition ,
2010,GMFIU,Aetherium Acquisition ,
2011,GMFIW,Aetherium Acquisition ,
2012,GMGI,Golden Matrix Group ,
2013,GNFT,GENFIT S.A.,
2014,GNLN,Greenlane Holdings ,
2015,GNLX,Genelux ,
2016,GNMA,iShares GNMA Bond ,
2017,GNOM,Global X Genomics & Biotechnology ,
2018,GNPX,Genprex ,
2019,GNSS,Genasys ,
2020,GNTA,Genenta Science S.p.A.,
2021,GNTX,Gentex ,
2022,GO,Grocery Outlet Holding ,
2023,GOCO,GoHealth ,
2024,GODN,Golden Star Acquisition ,
2025,GODNR,Golden Star Acquisition ,
2026,GODNU,Golden Star Acquisition ,
2027,GOEV,Canoo,
2028,GOEVW,Canoo,
2029,GOGL,Golden Ocean Group ,
2030,GOGO,Gogo ,
2031,GOOD,Gladstone Commercial ,
2032,GOODN,Gladstone Commercial ,
2033,GOODO,Gladstone Commercial ,
2034,GOOG,Alphabet ,
2035,GOOGL,Alphabet ,
2036,GOSS,Gossamer Bio ,
2037,GOVI,Invesco Equal Weight 0-30 Year Treasury ,
2038,GOVX,GeoVax Labs ,
2039,GOVXW,GeoVax Labs ,
2040,GP,GreenPower Motor,
2041,GPAC,Global Partner Acquisition,
2042,GPACU,Global Partner Acquisition,
2043,GPACW,Global Partner Acquisition,
2044,GPCR,Structure Therapeutics ,
2045,GPP,Green Plains Partners LP,
2046,GPRE,Green Plains ,
2047,GPRO,GoPro ,
2048,GRAB,Grab Holdings ,
2049,GRABW,Grab Holdings ,
2050,GRCL,Gracell Biotechnologies ,
2051,GREE,Greenidge Generation Holdings ,
2052,GREEL,Greenidge Generation Holdings ,
2053,GRFS,Grifols S.A.,
2054,GRI,GRI Bio ,
2055,GRID,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index Fund,
2056,GRIN,Grindrod Shipping Holdings ,
2057,GRNQ,Greenpro Capital ,
2058,GRNR,Global X Green Building ,
2059,GROM,Grom Social Enterprises ,
2060,GROMW,Grom Social Enterprises ,
2061,GROW,U.S. Global Investors ,
2062,GRPH,Graphite Bio ,
2063,GRPN,Groupon ,
2064,GRRR,Gorilla Technology Group ,
2065,GRRRW,Gorilla Technology Group ,
2066,GRTS,Gritstone bio ,
2067,GRTX,Galera Therapeutics ,
2068,GRVY,GRAVITY,
2069,GRWG,GrowGeneration ,
2070,GSBC,Great Southern Ban ,
2071,GSD,Global Systems Dynamics ,
