,key,value
2815,LSXMB,"{'Liberty', 'Liberty Media '}"
2816,LSXMK,"{'Liberty', 'Liberty Media '}"
2817,LTBR,"{'Lightbridge ', 'Lightbridge'}"
2818,LTRN,"{'Lantern Pharma', 'Lantern Pharma '}"
2819,LTRPA,"{'Liberty TripAdvisor Holdings ', 'Liberty TripAdvisor'}"
2820,LTRPB,"{'Liberty TripAdvisor Holdings ', 'TripAdvisor'}"
2821,LTRX,"{'Lantronix', 'Lantronix '}"
2822,LTRY,"{'Lotto', 'Lottery.com '}"
2823,LTRYW,"{'Lotto', 'Lottery.com '}"
2824,LUCD,"{'Lucid Diagnostics ', 'Lucid'}"
2825,LUCY,"{'Innovative Eyewear ', 'InnovEye'}"
2826,LUCYW,"{'Innovative Eyewear ', 'Eyewear Inc.'}"
2827,LULU,"{'lululemon athletica ', 'Lululemon'}"
2828,LUMO,"{'Lumos', 'Lumos Pharma '}"
2829,LUNA,"{'Luna', 'Luna Innovations '}"
2830,LUNG,"{'Pulmonx', 'Pulmonx '}"
2831,LUNR,"{'Intuitive Machines', 'Intuitive Machines '}"
2832,LUNRW,"{'Intuitive Machines', 'Intuitive Machines '}"
2833,LUXH,"{'LuxUrban Hotels ', 'LuxUrban'}"
2834,LVHD,"{'Franklin U.S. Low Volatility High Dividend Index ', 'Franklin'}"
2835,LVLU,"{""Lulu's"", ""Lulu's Fashion Lounge Holdings ""}"
2836,LVO,"{'LiveOne', 'LiveOne '}"
2837,LVOX,"{'LiveVox', 'LiveVox Holdings '}"
2838,LVOXU,"{'LiveVox', 'LiveVox Holdings '}"
2839,LVOXW,"{'LiveVox', 'LiveVox Holdings '}"
2840,LVRO,"{'LVRO', 'Lavoro '}"
2841,LVROW,"{""Sorry, but I can't generate a response based on the information provided."", 'Lavoro '}"
2842,LVTX,"{'LAVA Therapeutics N.V.', 'LAVA'}"
2843,LWAY,"{'Lifeway Foods ', 'Lifeway'}"
2844,LWLG,"{'Lightwave Logic', 'Lightwave Logic '}"
2845,LX,"{'LexinFintech Holdings ', 'Lexin'}"
2846,LXEH,"{'Lixiang Education', 'Lixiang Education Holding'}"
2847,LXRX,"{'Lexicon Pharmaceuticals ', 'Lexicon'}"
2848,LYEL,"{'Lyell Immunopharma ', 'Lyell'}"
2849,LYFT,"{'Lyft ', 'Ride-hailing'}"
2850,LYRA,"{'Lyra', 'Lyra Therapeutics '}"
2851,LYT,"{'Lytus Technologies', 'Lytus Technologies Holdings PTV. '}"
2852,LYTS,"{'LSI Industries ', 'LSI'}"
2853,LZ,"{'LegalZoom', 'LegalZoom.com '}"
2854,LZRD,"{'Parabla', 'Parabla Innovation '}"
2855,MACA,"{'Moringa Acquisition ', 'Moringa Acquisition'}"
2856,MACAU,"{'Moringa Acquisition ', 'Casino'}"
2857,MACAW,"{'Bird', 'Moringa Acquisition '}"
2858,MACK,"{'Merrimack Pharmaceuticals ', 'Merrimack Pharmaceuticals'}"
2859,MAMA,"{""Mama's Creations"", ""Mama's Creations ""}"
2860,MANH,"{'Manhattan Associates ', 'Manhattan'}"
2861,MAPS,"{'WM Technology ', 'Weedmaps'}"
2862,MAPSW,"{'WM Technology ', 'Weedmaps'}"
2863,MAQC,"{'Maquia', 'Maquia Capital Acquisition '}"
2864,MAQCU,"{'Maquia', 'Maquia Capital Acquisition '}"
2865,MAQCW,"{'Maquia', 'Maquia Capital Acquisition '}"
2866,MAR,"{'Marriott International', 'Marriott'}"
2867,MARA,"{'Marathon', 'Marathon Digital Holdings '}"
2868,MARK,"{'Remark', 'Remark Holdings '}"
2869,MARPS,"{'Marine Petroleum Trust', ""Sorry, but I can't generate a response without more information. Could you please provide more context or details about the company you""}"
2870,MARX,"{'Mars', 'Mars Acquisition '}"
2871,MARXR,"{'Mars', 'Mars Acquisition '}"
2872,MARXU,"{'Mars', 'Mars Acquisition '}"
2873,MASI,"{'Masimo', 'Masimo '}"
2874,MASS,"{'908 Devices', '908 Devices '}"
2875,MAT,"{'Mattel', 'Mattel '}"
2876,MATH,"{'Metalpha', 'Metalpha Technology Holding '}"
2877,MATW,"{'Matthews', 'Matthews International '}"
2878,MAXI,"{'Simplify Bitcoin Strategy PLUS ome ', 'Bitcoin Strategy PLUS'}"
2879,MAXN,"{'Maxeon Solar Technologies ', 'Maxeon'}"
2880,MAYS,"{'J. W. Mays ', 'Mays'}"
2881,MBB,"{'iShares', 'iShares MBS '}"
2882,MBCN,"{'Middlefield Banc ', 'Middlefield Banc'}"
2883,MBIN,"{'MerchantBan', 'Merchants Ban'}"
2884,MBINM,"{'Merchants Ban', ""Merchant's Ban""}"
2885,MBINN,"{'Merchants Ban', ""Merchant's Ban""}"
2886,MBINO,"{'Merchants Ban', ""Merchant's Ban""}"
2887,MBINP,{'Merchants Ban'}
2888,MBIO,"{'Mustang', 'Mustang Bio '}"
2889,MBLY,"{'Mobileye', 'Mobileye Global '}"
2890,MBNKP,{'Medallion Bank'}
2891,MBOT,"{'Microbot Medical', 'Microbot'}"
2892,MBRX,"{'Moleculin', 'Moleculin Biotech '}"
2893,MBTC,"{'Nocturne Acquisition ', 'Nocturne'}"
2894,MBTCR,"{'Nocturne Acquisition ', 'Nocturne'}"
2895,MBTCU,"{'Nocturne Acquisition ', 'Nocturne'}"
2896,MBUU,"{'Malibu', 'Malibu Boats '}"
2897,MBWM,"{'Mercantile', 'Mercantile Bank '}"
2898,MCAA,"{'Mountain & Acquisition ', 'MCAA'}"
2899,MCAAU,"{'Mountain & Acquisition ', 'MCAAU'}"
2900,MCAAW,"{'Mountain & Acquisition ', 'Mountain Acquisition'}"
2901,MCAC,"{'Monterey Capital', 'Monterey Capital Acquisition '}"
2902,MCACR,"{'Monterey Capital', 'Monterey Capital Acquisition '}"
2903,MCACU,"{'Monterey Capital', 'Monterey Capital Acquisition '}"
2904,MCACW,"{'Monterey Capital', 'Monterey Capital Acquisition '}"
2905,MCAF,"{'Mountain Crest AcquisitionV', 'Mountain Crest Acquisition'}"
2906,MCAFR,"{'Mountain Crest AcquisitionV', 'Mountain Crest Acquisition'}"
2907,MCAFU,"{'Mountain Crest AcquisitionV', 'Mountain Crest Acquisition'}"
2908,MCAG,{'Mountain Crest Acquisition'}
2909,MCAGR,{'Mountain Crest Acquisition'}
2910,MCAGU,"{'Mountain Crest Acquisition', 'Mountain Crest'}"
2911,MCBC,"{'Macatawa Bank', 'Macatawa Bank '}"
2912,MCBS,"{'MetroCity', 'MetroCity Bankshares '}"
2913,MCFT,"{'MasterCraft', 'MasterCraft Boat Holdings '}"
2914,MCHI,"{'iShares MSCI China ', 'iShares'}"
2915,MCHP,"{'Microchip Technology ', 'Microchip'}"
2916,MCHX,"{'Marchex', 'Marchex '}"
2917,MCLD,"{'mCloud Technologies ', 'mCloud'}"
2918,MCLDP,"{'mCloud Technologies ', 'mCloud'}"
2919,MCLDW,"{'mCloud Technologies ', 'mCloud'}"
2920,MCOM,"{'Micromobility', 'micromobility.com '}"
2921,MCOMW,"{'Micromobility', 'micromobility.com '}"
2922,MCRB,"{'Seres', 'Seres Therapeutics '}"
2923,MCRI,"{'Monarch Casino & Resort ', 'Monarch Casino'}"
2924,MCSE,"{'Martin Currie', 'Martin Currie Sustainable International Equity '}"
2925,MCVT,"{'Mill City Ventures ', 'Mill City Ventures'}"
2926,MDAI,"{'Spectral AI ', 'Spectral'}"
2927,MDAIW,"{'Spectral AI ', 'Spectral'}"
2928,MDB,"{'MongoDB ', 'MongoDB'}"
2929,MDCP,"{'VictoryShares THB Mid Cap ESG ', 'VictoryShares'}"
2930,MDGL,"{'Madrigal', 'Madrigal Pharmaceuticals '}"
2931,MDGS,"{'Medigus', 'Medigus '}"
2932,MDIA,"{'Mediaco Holding ', 'Mediaco'}"
2933,MDIV,"{'Diversified Fund', 'Multi-Asset Diversified ome Index Fund'}"
2934,MDJH,"{'MDJM ', ""Sorry, but I can't generate a response without the company's name.""}"
2935,MDLZ,"{'Mondelez', 'Mondelez International '}"
2936,MDNA,"{'Medicenna Therapeutics ', 'Medicenna'}"
2937,MDRR,"{'Medalist Diversified REIT ', 'Medalist'}"
2938,MDRRP,"{'Medalist Diversified REIT ', ""Sorry, but I don't have enough information to provide a specific answer. Could you please provide more context or details about the""}"
2939,MDRX,"{'Veradigm ', 'Veradigm'}"
2940,MDVL,"{'MedAvail Holdings', 'MedAvail'}"
2941,MDWD,"{'MediWound ', 'MediWound'}"
2942,MDWT,"{'Midwest Holding', 'Midwest Holding '}"
2943,MDXG,"{'MiMedx', 'MiMedx Group '}"
2944,MDXH,"{'MDxHealth', 'MDxHealth SA'}"
2945,ME,"{'23andMe', '23andMe Holding '}"
2946,MEDP,"{'Medpace Holdings ', 'Medpace'}"
2947,MEDS,"{'TrxAde', 'TRxADE HEALTH '}"
2948,MEDX,"{'MedX', 'Horizon Kinetics Medical '}"
2949,MEGL,"{'Magic Empire Global ', 'Magic Empire'}"
2950,MEIP,"{'MEI Pharma ', 'MEI Pharma'}"
2951,MELI,"{'MercadoLibre ', 'MercadoLibre'}"
2952,MEOH,"{'Methanex', 'Methanex '}"
2953,MERC,"{'Mercer', 'Mercer International '}"
2954,MESA,"{'Mesa Air Group ', 'Mesa'}"
2955,MESO,"{'Mesoblast ', 'Mesoblast'}"
2956,META,"{'Meta Platforms ', 'Facebook'}"
2957,METC,"{'Ramaco', 'Ramaco Resources '}"
2958,METCB,"{'Ramaco', 'Ramaco Resources '}"
2959,METCL,"{'Ramaco', 'Ramaco Resources '}"
2960,METX,"{'Bitcoin', 'BTC Digital '}"
2961,METXW,"{'Bitcoin', 'BTC Digital '}"
2962,MF,"{'Missfresh', 'Missfresh '}"
2963,MFH,"{'Mercurity', 'Mercurity Fintech Holding '}"
2964,MFIC,"{'MidCap Financial Investment ', 'MidCap Financial'}"
2965,MFIN,"{'Microfinance International Corp', 'Medallion Financial '}"
2966,MFLX,"{'First Trust', 'First Trust Flexible Municipal High ome '}"
2967,MGAM,"{'Mobile Global Esports ', 'Mobile Esports'}"
2968,MGEE,"{'MGE Energy ', 'Madison Gas and Electric'}"
2969,MGIC,"{'Magic Software', 'Magic Software Enterprises '}"
2970,MGIH,"{'MG International', 'Millennium Group International Holdings '}"
2971,MGNI,"{'Magnite', 'Magnite '}"
2972,MGNX,"{'MacroGenics', 'MacroGenics '}"
2973,MGOL,"{'MGO', 'MGO Global '}"
2974,MGPI,"{'MGP Ingredients ', 'MGP'}"
2975,MGRC,{'McGrath Rent'}
2976,MGRM,"{'Monogram', 'Monogram Orthopaedics '}"
2977,MGRX,"{'Mangoceuticals ', 'Mangoceuticals'}"
2978,MGTX,"{'MeiraGTx Holdings plc', 'MeiraGTx'}"
2979,MGYR,"{'Magyar Ban ', 'Hungarian Bank'}"
2980,MHLD,"{'Maiden Holdings', 'Maiden Holdings '}"
2981,MHUA,"{'Meihua International Medical Technologies', 'Meihua Medical'}"
2982,MICS,"{'Singing Machine', 'The Singing Machine'}"
2983,MIDD,"{'Middleby', 'The Middleby '}"
2984,MIGI,"{'Mawson Infrastructure Group ', 'Mawson'}"
2985,MILN,"{'Global X Millennial Consumer ', 'Global X'}"
2986,MIND,"{'MIND', 'MIND Technology '}"
2987,MINDP,"{'MIND', 'MIND Technology '}"
2988,MINM,"{'MINM', 'Minim '}"
2989,MIRA,"{'MIRA Pharmaceuticals ', 'MIRA Pharmaceuticals'}"
2990,MIRM,"{'Mirum Pharmaceuticals ', 'Mirum'}"
2991,MIRO,"{'Miromatrix', 'Miromatrix Medical '}"
2992,MIST,"{'Milestone Pharmaceuticals', 'Milestone Pharmaceuticals '}"
2993,MITA,"{'Coliseum', 'Coliseum Acquisition '}"
2994,MITAU,"{'Coliseum', 'Coliseum Acquisition '}"
2995,MITAW,"{'Coliseum', 'Coliseum Acquisition '}"
2996,MITK,"{'Mitek Systems ', 'Mitek'}"
2997,MKAM,"{'MKAM', 'MKAM '}"
2998,MKSI,"{'MKS', 'MKS Instruments '}"
2999,MKTW,"{'MarketWise ', 'MarketWise'}"
3000,MKTX,"{'MarketAxess', 'MarketAxess Holdings '}"
3001,MKUL,"{'Molekule', 'Molekule Group '}"
3002,MLAB,"{'Mesa Laboratories ', 'Mesa Labs'}"
3003,MLCO,"{'Melco Resorts & Entertainment ', 'Melco'}"
3004,MLEC,"{'Moolec Science SA', 'Moolec'}"
3005,MLECW,"{'Moolec Science SA', 'Moolec'}"
3006,MLGO,"{'MicroAlgo ', 'MicroAlgo'}"
3007,MLKN,"{'MillerKnoll', 'MillerKnoll '}"
3008,MLTX,"{'MoonLake', 'MoonLake Immunotherapeutics'}"
3009,MLYS,"{'Mineralys Therapeutics ', 'Mineralys'}"
3010,MMAT,"{'Meta Materials', 'Meta Materials '}"
3011,MMLP,"{'Martin Midstream Partners ', 'Martin Midstream Partners'}"
3012,MMSI,"{'Merit Medical Systems ', 'Merit Medical'}"
3013,MMV,"{'MultiMetaVerse Holdings ', 'MultiMetaVerse'}"
3014,MMVWW,"{'MultiMetaVerse Holdings ', 'MultiMetaVerse'}"
3015,MMYT,"{'MakeMyTrip', 'MakeMyTrip '}"
3016,MNDO,"{'MIND', 'MIND C.T.I. '}"
3017,MNDY,"{'monday.com ', 'monday'}"
3018,MNKD,"{'MannKind ', 'MannKind'}"
3019,MNMD,"{'Mind Medicine (MindMed) ', 'MindMed'}"
3020,MNOV,"{'MediciNova', 'MediciNova '}"
3021,MNPR,"{'Monopar', 'Monopar Therapeutics '}"
3022,MNRO,{'Monro'}
3023,MNSB,"{'MainStreet', 'MainStreet Bancshares '}"
3024,MNSBP,"{'MainStreet', 'MainStreet Bancshares '}"
3025,MNST,"{'Monster Beverage ', 'Monster'}"
3026,MNTK,"{'Montauk Renewables ', 'Montauk'}"
3027,MNTS,"{'Momentus ', 'Momentus'}"
3028,MNTSW,"{'Momentus ', 'Momentus'}"
3029,MNTX,"{'Manitex', 'Manitex International '}"
3030,MOB,"{'Mobilicom ', 'Mobilicom'}"
3031,MOBBW,"{'Mobilicom ', 'Mobilicom'}"
3032,MOBQ,"{'Mobiquity', 'Mobiquity Technologies '}"
3033,MOBQW,"{'Mobiquity', 'Mobiquity Technologies '}"
3034,MOBV,"{'Mobiv', 'Mobiv Acquisition '}"
3035,MOBVU,"{'Mobiv', 'Mobiv Acquisition '}"
3036,MOBVW,"{'Mobiv', 'Mobiv Acquisition '}"
3037,MODD,"{'Modular Medical ', 'ModMed'}"
3038,MODL,"{'VictoryShares WestEnd U.S. Sector ', 'VictoryShares'}"
3039,MODV,"{'ModivCare ', 'ModivCare'}"
3040,MOFG,"{'MidWestOne', 'MidWestOne Financial Group '}"
3041,MOGO,"{'Mogo ', 'Mogo'}"
3042,MOLN,"{'Molecular Partners AG', 'Molecular Partners'}"
3043,MOMO,"{'Company Name: Unknown', 'Hello Group'}"
3044,MOND,"{'Mondee Holdings ', 'Mondee'}"
3045,MOR,"{'MorphoSys AG', 'MorphoSys'}"
3046,MORF,"{'Morphic', 'Morphic Holding '}"
3047,MORN,"{'Morningstar', 'Morningstar '}"
3048,MOTS,"{'Motus GI Holdings ', 'Motus GI'}"
3049,MOVE,"{'Movano ', 'Vauxhall'}"
3050,MOXC,"{'Moxian (BVI)', 'Moxian'}"
3051,MPAA,"{'Motorcar Parts of America ', 'MPA'}"
3052,MPB,"{'Mid Penn Ban', 'Mid Penn Bank'}"
3053,MPRA,"{'Mercato Partners', 'Mercato Partners Acquisition '}"
3054,MPRAU,"{'Mercato Partners', 'Mercato Partners Acquisition '}"
3055,MPRAW,"{'Mercato Partners', 'Mercato Partners Acquisition '}"
3056,MPWR,"{'MPS', 'Monolithic Power Systems '}"
3057,MQ,"{'Marqeta ', 'Marqeta'}"
3058,MRAI,"{'Marpai', 'Marpai '}"
3059,MRAM,"{'Everspin', 'Everspin Technologies '}"
3060,MRBK,"{'Meridian ', 'Company Name: MRBK'}"
3061,MRCC,"{'Monroe', 'Monroe Capital '}"
3062,MRCY,"{'Mercury Systems ', 'Mercury'}"
3063,MREO,"{'Mereo BioPharma Group plc', 'Mereo'}"
3064,MRIN,"{'Marin', 'Marin Software '}"
3065,MRKR,"{'Marker Therapeutics ', 'Marker Therapeutics'}"
3066,MRM,"{'MEDIROM', 'MEDIROM Healthcare Technologies '}"
3067,MRNA,"{'Moderna ', 'Moderna'}"
3068,MRND,"{'IQ U.S. Mid Cap R&D Leaders ', 'Common name: MRND'}"
3069,MRNS,"{'Marinus', 'Marinus Pharmaceuticals '}"
3070,MRSN,"{'Mersana', 'Mersana Therapeutics '}"
3071,MRTN,"{'Marten Transport ', 'Marten Transport'}"
3072,MRTX,"{'Mirati Therapeutics ', 'Mirati'}"
3073,MRUS,"{'Merus', 'Merus N.V.'}"
3074,MRVI,"{'Maravai LifeSciences', 'Maravai LifeSciences Holdings '}"
3075,MRVL,"{'Marvell', 'Marvell Technology '}"
3076,MSBI,"{'Midland States', 'Midland States Ban '}"
3077,MSBIP,"{'Midland', 'Midland States Ban '}"
3078,MSEX,"{'Middlesex Water ', 'Middlesex Water'}"
3079,MSFD,"{'Direxion Daily MSFT Bear 1X Shares', 'Direxion'}"
3080,MSFT,"{'Microsoft ', 'Microsoft'}"
3081,MSFU,"{'Direxion Daily MSFT Bull 1.5X Shares', 'Direxion'}"
3082,MSGM,"{'Motorsport Games ', 'Motorsport Games'}"
3083,MSSA,"{'Metal Sky Star Acquisition ', 'Metal Sky'}"
3084,MSSAR,"{'Metal Sky Star Acquisition ', 'Metal Sky'}"
3085,MSSAU,"{'Metal Sky Star', 'Metal Sky Star Acquisition '}"
3086,MSSAW,"{'MetalSky', 'Metal Sky Star Acquisition '}"
3087,MSTR,"{'MicroStrategy ', 'MSTR'}"
3088,MTC,"{'MMTec ', 'MTC'}"
3089,MTCH,"{'Tinder', 'Match Group '}"
3090,MTEK,"{'Maris-Tech', 'Maris-Tech '}"
3091,MTEKW,"{'Maris-Tech', 'Maris-Tech '}"
3092,MTEM,"{'Molecular Templates', 'Molecular Templates '}"
3093,MTEX,"{'Mannatech ', 'Mannatech'}"
3094,MTLS,"{'Materialise', 'Materialise NV'}"
3095,MTRX,"{'Matrix Service ', 'Matrix'}"
3096,MTRY,"{'MTRY', 'Monterey Innovation Acquisition '}"
3097,MTRYU,"{'Monterey Innovation Acquisition ', 'Monterey Innovation'}"
3098,MTRYW,"{'Monterey Innovation Acquisition ', 'Monterey Innovation'}"
3099,MTSI,"{'MACOM Technology Solutions Holdings ', 'MACOM'}"
3100,MTTR,"{'Matterport ', 'Matterport'}"
3101,MU,"{'Micron', 'Micron Technology '}"
3102,MULN,"{'Mullen Automotive ', 'Mullen'}"
3103,MURF,"{'Murphy Canyon', 'Murphy Canyon Acquisition '}"
3104,MURFU,"{'Murphy Canyon', 'Murphy Canyon Acquisition '}"
3105,MURFW,"{'Murphy Canyon', 'Murphy Canyon Acquisition '}"
3106,MVBF,"{'MVB', 'MVB Financial '}"
3107,MVIS,"{'MicroVision ', 'MicroVision'}"
3108,MVLA,"{'Movella', 'Movella Holdings '}"
3109,MVLAW,"{'Movella', 'Movella Holdings '}"
3110,MVST,"{'Microvast', 'Microvast Holdings '}"
3111,MVSTW,"{'Microvast', 'Microvast Holdings '}"
3112,MXCT,"{'MaxCyte ', 'MaxCyte'}"
3113,MXL,"{'MaxLinear', 'MaxLinear '}"
3114,MYFW,"{'First Western Financial ', 'First Western'}"
3115,MYGN,"{'Myriad', 'Myriad Genetics '}"
3116,MYMD,"{'MyMD Pharmaceuticals', 'MyMD Pharmaceuticals '}"
3117,MYNA,"{'Mynaric', 'Mynaric AG'}"
3118,MYNZ,"{'Mainz Biomed N.V.', 'Mainz Biomed'}"
3119,MYPS,"{'PLAYSTUDIOS', 'PlayStudios'}"
3120,MYPSW,{'PLAYSTUDIOS'}
3121,MYRG,"{'MYR', 'MYR Group '}"
3122,MYSZ,"{'MySize', 'My Size '}"
3123,,"{'Nano Labs', 'Nano Labs '}"
3124,NAAS,"{'NaaS Technology ', 'NaaS'}"
3125,NAII,"{'Natural Alternatives International ', 'NATURAL ALTERNATIVES'}"
3126,NAMS,"{'NewAmsterdam PharmaN.V.', 'NewAmsterdam'}"
3127,NAMSW,"{'NewAmsterdam PharmaN.V.', 'NewAmsterdam Pharma'}"
3128,NAOV,"{'NanoVibronix', 'NanoVibronix '}"
3129,NARI,"{'Inari Medical', 'Inari Medical '}"
3130,NATH,"{""Nathan's"", ""Nathan's Famous ""}"
3131,NATI,"{'National Instruments ', 'NI'}"
3132,NATR,"{""Nature's Sunshine"", ""Nature's Sunshine Products ""}"
3133,NAUT,"{'Nautilus', 'Nautilus Biotechnology '}"
3134,NAVI,"{'Student loan', 'Navient '}"
3135,NB,"{'Nio Developments ', 'Nio'}"
3136,NBIX,"{'Neurocrine Biosciences ', 'Neurocrine'}"
3137,NBN,{'Northeast Bank'}
3138,NBSE,"{'NeuBase', 'NeuBase Therapeutics'}"
3139,NBST,"{'Newbury Street Acquisition ', 'Newbury Street'}"
3140,NBSTU,"{'Newbury Street Acquisition ', 'Newbury Street'}"
3141,NBSTW,"{'Newbury Street Acquisition ', 'Newbury Street'}"
3142,NBTB,"{'NBT Ban ', 'Company name: NBT Ban'}"
3143,NBTX,"{'Nanobiotix S.A.', 'Nanobiotix'}"
3144,NCAC,"{'Newcourt Acquisition ', 'Newcourt'}"
3145,NCACU,"{'Newcourt Acquisition ', 'Newcourt'}"
3146,NCACW,"{'Newcourt Acquisition ', 'Newcourt'}"
3147,NCMI,"{'National CineMedia ', 'NCM'}"
3148,NCNA,"{'NuCana', 'NuCana plc'}"
3149,NCNC,"{'noco-noco ', 'Noco'}"
3150,NCNCW,"{'noco-noco ', 'Noco'}"
3151,NCNO,"{'nCino ', 'nCino'}"
3152,NCPL,"{'Netcapital', 'Netcapital '}"
3153,NCPLW,"{'Netcapital', 'Netcapital '}"
3154,NCRA,"{'Nocera', 'Nocera '}"
3155,NCSM,"{'NCS Multistage Holdings ', 'NCS Multistage'}"
3156,NCTY,"{'The9 ', 'Common Name: The9'}"
3157,NDAQ,"{'Nasdaq ', 'NASDAQ'}"
3158,NDLS,"{'Noodles & ', 'Noodles'}"
3159,NDRA,"{'ENDRA', 'ENDRA Life Sciences '}"
3160,NDSN,"{'Nordson ', 'Nordson'}"
3161,NECB,"{'NorthEast Community Ban ', 'National Equipment Corporation Bank'}"
3162,NEGG,"{'Newegg Commerce ', 'Newegg'}"
3163,NEO,"{'NeoGenomics', 'NeoGenomics '}"
3164,NEOG,"{'Neogen ', 'NeoGen'}"
3165,NEON,"{'Neonode ', 'Neonode'}"
3166,NEOV,"{'NeoVolta ', 'NeoVolta'}"
3167,NEOVW,"{'NeoVolta ', 'NeoVolta'}"
3168,NEPH,"{'Nephros ', 'Nephros'}"
3169,NEPT,"{'Neptune Wellness Solutions ', 'Neptune'}"
3170,NERV,"{'Minerva Neurosciences ', 'Minerva'}"
3171,NETD,"{'Nabors Energy Transition', 'Nabors'}"
3172,NETDU,"{'Nabors Energy Transition', 'Nabors'}"
3173,NETDW,"{'Nabors Energy Transition', 'Nabors'}"
3174,NEWT,"{'NewtekOne ', 'Newtek'}"
3175,NEWTI,"{'NewtekOne ', 'Newtek'}"
3176,NEWTL,"{'NewtekOne ', 'Newtek'}"
3177,NEWTZ,"{'NewtekOne ', 'Newtek'}"
3178,NEXI,"{'NexImmune ', 'NexImmune'}"
3179,NEXT,"{'NextDecade ', 'NextDecade'}"
3180,NFBK,"{'Northfield Ban ', 'Northfield'}"
3181,NFE,"{'New Fortress Energy ', 'New Fortress'}"
3182,NFLX,"{'Netflix', 'Nlix '}"
3183,NFTG,"{'The NFT Gaming', 'NFT Gaming'}"
3184,NFTY,"{'First Trust', 'First Trust India Nifty 50 Equal Weight '}"
3185,NGM,"{'NGM', 'NGM Biopharmaceuticals '}"
3186,NGMS,"{'NeoGames S.A.', 'NeoGames'}"
3187,NHTC,"{'NHT', 'Natural Health Trends '}"
3188,NICE,"{'NICE ', 'Sorry, but I need more context or information to determine which company you are referring to.'}"
3189,NICK,"{'Nicholas Financial ', 'NickFin'}"
3190,NIKL,"{'Sprott Nickel', 'Sprott Nickel Miners '}"
3191,NIOBW,"{'Nio Developments ', 'Nio'}"
3192,NIR,"{'Near Intelligence ', 'NearIntelligence'}"
3193,NIRWW,"{'Near Intelligence ', 'Near'}"
3194,NISN,"{'NiSun', 'NiSun Intl Enterprise Development Group Co '}"
3195,NIU,"{'Niu Technologies', 'NIU'}"
3196,NKLA,"{'Tesla', 'Nikola '}"
3197,NKSH,"{'National Bankshares', 'National Bankshares '}"
3198,NKTR,"{'Nektar Therapeutics', 'Nektar'}"
3199,NKTX,"{'Nkarta', 'Nkarta '}"
3200,NLSP,"{'NLS Pharmaceutics ', 'NLS Pharma'}"
3201,NLSPW,"{'NLS Pharmaceutics ', 'NLS Pharma'}"
3202,NLTX,"{'Neoleukin Therapeutics ', 'Neoleukin'}"
3203,NMFC,"{'New Mountain Finance', 'New Mountain Finance '}"
3204,NMIH,"{'NMI', 'NMI Holdings '}"
3205,NMRA,"{'Neumora', 'Neumora Therapeutics '}"
3206,NMRD,"{'Nemaura Medical ', 'Nemaura Medical'}"
3207,NMRK,"{'Newmark Group ', 'Craigslist'}"
3208,NMTC,"{'NeuroOne Medical Technologies ', 'NeuroOne'}"
3209,NN,"{'NextNav ', 'NextNav'}"
3210,NNAGU,"{'99 Acquisition Group ', '99 Acquisition'}"
3211,NNAVW,"{'NextNav ', 'NextNav'}"
3212,NNBR,"{""Sorry, but I can't provide the information you're looking for."", 'NN '}"
3213,NNDM,"{'Nano Dimension', 'Nano Dimension '}"
3214,NNOX,"{'NANO-X IMAGING ', 'Nano-X Imaging'}"
3215,NODK,"{'NI Holdings ', 'Nodak Insurance Holdings'}"
3216,NOGN,"{'Company', 'Nogin '}"
3217,NOGNW,"{'Company', 'Nogin '}"
3218,NOTV,"{'Inotiv ', 'Inotiv'}"
3219,NOVT,"{'Ninety', 'Novanta '}"
3220,NOVV,"{'Nova Vision', 'Nova Vision Acquisition '}"
3221,NOVVR,"{'Nova Vision', 'Nova Vision Acquisition '}"
3222,NOVVU,"{'Nova Vision', 'Nova Vision Acquisition '}"
3223,NOVVW,"{'Nova Vision', 'Nova Vision Acquisition '}"
3224,NPAB,{'New Providence Acquisition'}
3225,NPABU,"{'NewPro', 'New Providence Acquisition'}"
3226,NPABW,"{'NewPro', 'New Providence Acquisition'}"
3227,NPCE,"{'NeuroPace', 'Neuropace '}"
3228,NRAC,"{'Northern Revival', 'Northern Revival Acquisition '}"
3229,NRACU,"{'Northern Revival', 'Northern Revival Acquisition '}"
3230,NRACW,"{'Northern Revival', 'Northern Revival Acquisition '}"
3231,NRBO,"{'NeuroBo Pharmaceuticals ', 'NeuroBo'}"
3232,NRC,"{'National Research ', 'Common Name: National Research'}"
3233,NRDS,"{'NerdWallet ', 'NerdWallet'}"
3234,NRIM,"{'Northrim Bank', 'Northrim Ban '}"
3235,NRIX,"{'Nurix Therapeutics ', 'Nurix'}"
3236,NRSN,"{'NeuroSense', 'NeuroSense Therapeutics '}"
3237,NRSNW,"{'NeuroSense', 'NeuroSense Therapeutics '}"
3238,NRXP,"{'NRX Pharmaceuticals', 'NRX Pharmaceuticals '}"
3239,NRXPW,"{'NRX Pharmaceuticals', 'NRX Pharmaceuticals '}"
3240,NSIT,"{'Insight', 'Insight Enterprises '}"
3241,NSPR,"{'InspireMD ', 'InspireMD'}"
3242,NSSC,"{'NAPCO Security Technologies ', 'NAPCO'}"
3243,NSTG,"{'NanoString', 'NanoString Technologies '}"
3244,NSTS,"{'NSTS', 'NSTS Ban '}"
3245,NSYS,"{'Nortech Systems ', 'Nortech'}"
3246,NTAP,"{'NetApp ', 'NetApp'}"
